id,prefix,name,f-test,pval
2948,4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity,4.3.1,360.6501,0.0000
12166,5-phrase_feature__next_noun_phrases__have_overlap,5,289.7682,0.0000
12165,5-phrase_feature__next_noun_phrases__#overlap,5,285.8150,0.0000
35127,8.2.1-lda_similarity.next_user_utterance_pairs__cosine,8.2.1,264.0182,0.0000
36028,9.2.1-w2v_similarity.next_user_utterance_pairs__cosine,9.2.1,250.2377,0.0000
12167,5-phrase_feature__next_noun_phrases__jaccard_similarity,5,233.7291,0.0000
30639,6-entity_feature__next_entity__#overlap,6,167.9872,0.0000
30641,6-entity_feature__next_entity__jaccard_similarity,6,156.1597,0.0000
30640,6-entity_feature__next_entity__have_overlap,6,154.7843,0.0000
44131,11.2.1-skipthought_similarity.next_user_utterance_pairs__cosine,11.2.1,132.2416,0.0000
36930,10.2.1-d2v_similarity.next_user_utterance_pairs__cosine,10.2.1,88.1126,0.0000
43,2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity,2.3.1,79.5125,0.0000
30643,7-syntactic_feature__next_root_words_overlap,7,79.4283,0.0000
2947,4.2.1-edit_distance.next_user_utterance_pairs__edit_distance,4.2.1,71.1817,0.0000
36029,9.3.1-wmd_similarity.next_user_utterance_pairs__wmd_distance,9.3.1,53.2283,0.0000
30642,7-syntactic_feature__next_obj_words_overlap,7,32.3638,0.0000
30644,7-syntactic_feature__next_subj_words_overlap,7,16.3489,0.0000
17987,5-phrase_feature__noun_phrases__next_system_utterance__distance,5,0.1071,0.9560
