dataset,context_set,feature_set,model,accuracy,precision,recall,f1_score
dstc2,last,,cnn,0.6347120493954083,0.4603088808788099,0.45366354065016795,0.4457725775328983
dstc3,last,,cnn,0.6160672553741862,0.4492649888136904,0.43665589759135764,0.4277804170471501
family,last,,cnn,0.7314650301356103,0.49255918114548036,0.4175714573896676,0.43380898635816434
ghome,last,,cnn,0.7597432315149975,0.4878735548323835,0.3882378886313992,0.4078422720739852
