dataset,context_set,feature_set,model,accuracy,precision,recall,f1_score
dstc2,next,6-w2v,LR.pen=l1.C=1.000000,0.751715569954,0.547512529645,0.54466459651,0.543262738113
dstc3,next,6-w2v,LR.pen=l1.C=1.000000,0.674682789225,0.499959484277,0.475527762616,0.475490424233
family,next,6-w2v,LR.pen=l1.C=1.000000,0.712451029633,0.311955930816,0.282671131588,0.267492528734
ghome,next,6-w2v,LR.pen=l1.C=1.000000,0.799994496306,0.491613823027,0.394857179698,0.414730177712
