dataset,context_set,feature_set,model,accuracy,precision,recall,f1_score
dstc3,current,4-syntactic,LinearSVC.pen=l1.C=0.062500,0.391096133262,0.261806343244,0.264601176421,0.260677404324
dstc2,current,4-syntactic,LinearSVC.pen=l1.C=0.062500,0.379610108605,0.262959547954,0.259455878534,0.257382148652
ghome,current,4-syntactic,LinearSVC.pen=l1.C=2.000000,0.645789885904,0.25648967037,0.2556098753,0.253395474055
family,current,4-syntactic,LinearSVC.pen=l1.C=2.000000,0.653653314917,0.274901734173,0.259722105859,0.248175041253
