dataset,context_set,feature_set,model,accuracy,precision,recall,f1_score
dstc2,next,10-[5+1.3.4],LR.pen=l1.C=1.000000,0.846696472867,0.811094048983,0.713677990924,0.739749639737
dstc3,next,10-[5+1.3.4],LR.pen=l1.C=1.000000,0.817277004727,0.771443237975,0.688592215163,0.715069846817
family,next,10-[5+1.3.4],LR.pen=l1.C=1.000000,0.880706617278,0.771341023004,0.701483788541,0.727191886806
ghome,next,10-[5+1.3.4],LR.pen=l1.C=1.000000,0.892435384518,0.736780447626,0.613729655495,0.649359685475
