id	name	chi2	pval
88	4.1-ngram.next_user_utterance__thank good bye	206.1682	0.0000
89	4.1-ngram.next_user_utterance__good bye	205.9456	0.0000
90	4.1-ngram.next_user_utterance__bye	205.1203	0.0000
91	4.1-ngram.next_user_utterance__good	204.5933	0.0000
92	5-phrase_feature__noun_phrases__next_system_utterance__street	203.0164	0.0000
93	5-phrase_feature__noun_phrases__next_user_utterance__whats	199.9316	0.0000
94	7-syntactic_feature__root_word__current_user_utterance__restaurant	197.9468	0.0000
95	7-syntactic_feature__subj_word__current_user_utterance__address	195.8939	0.0000
96	8.1-lda_feature.next_user_utterance__topic_31	191.9181	0.0000
97	8.3-w2v_feature.current_user_utterance__w2v_dim=0	190.1020	0.0000
98	4.1-ngram.current_user_utterance__phone number	187.1070	0.0000
99	4.1-ngram.current_user_utterance__phone	184.9191	0.0000
100	5-phrase_feature__noun_phrases__next_system_utterance__postcode	184.6030	0.0000
101	4.1-ngram.current_user_utterance__number	183.1856	0.0000
102	4.1-ngram.next_system_utterance__example	179.6364	0.0000
103	4.1-ngram.next_user_utterance__thank goodbye	178.0942	0.0000
104	4.1-ngram.next_user_utterance__goodbye	178.0914	0.0000
105	4.1-ngram.current_user_utterance__restaurant	175.8928	0.0000
106	7-syntactic_feature__subj_word__next_system_utterance__You	175.3874	0.0000
107	7-syntactic_feature__root_word__next_system_utterance__Let	175.3874	0.0000
108	5-phrase_feature__noun_phrases__next_system_utterance__outstanding_restaurant	169.4094	0.0000
109	7-syntactic_feature__root_word__next_user_utterance__no	166.6906	0.0000
110	5-phrase_feature__noun_phrases__next_system_utterance__museum	162.7930	0.0000
111	8.1-lda_feature.current_user_utterance__topic_25	162.6799	0.0000
112	7-syntactic_feature__root_word__next_user_utterance__restaurant	162.1474	0.0000
113	4.1-ngram.next_user_utterance__phone number	158.5314	0.0000
114	4.1-ngram.next_user_utterance__phone	158.0403	0.0000
115	8.1-lda_feature.next_system_utterance__topic_34	158.0117	0.0000
116	8.1-lda_feature.next_system_utterance__topic_33	157.2078	0.0000
117	5-phrase_feature__noun_phrases__next_system_utterance__gallery	156.8245	0.0000
118	3-time_feature__time_ratio	154.1944	0.0000
119	4.1-ngram.next_user_utterance__number	153.9236	0.0000
120	8.1-lda_feature.current_user_utterance__topic_33	153.7929	0.0000
121	6-entity_feature__entity__next_system_utterance__95_NUMBER	144.6992	0.0000
122	4.1-ngram.next_system_utterance__looking	141.1380	0.0000
123	7-syntactic_feature__subj_word__current_user_utterance__number	137.9993	0.0000
124	7-syntactic_feature__root_word__next_system_utterance__venue	137.6817	0.0000
125	5-phrase_feature__noun_phrases__next_system_utterance__restaurant	136.9943	0.0000
126	7-syntactic_feature__subj_word__next_user_utterance__number	135.8129	0.0000
127	5-phrase_feature__noun_phrases__next_system_utterance__great_restaurant	133.1123	0.0000
128	7-syntactic_feature__subj_word__next_system_utterance__I	132.7090	0.0000
129	7-syntactic_feature__root_word__next_system_utterance__serves	129.7527	0.0000
130	2.1-user_action_words.next_user_utterance__matter	129.0260	0.0000
131	7-syntactic_feature__subj_word__next_user_utterance__address	127.3474	0.0000
132	5-phrase_feature__noun_phrases__next_user_utterance__matter	124.2586	0.0000
133	4.1-ngram.next_user_utterance__restaurant	123.5654	0.0000
134	5-phrase_feature__noun_phrases__next_system_utterance__bar	119.4408	0.0000
135	5-phrase_feature__noun_phrases__next_system_utterance__area	117.0191	0.0000
136	8.1-lda_feature.next_system_utterance__topic_10	116.7821	0.0000
137	7-syntactic_feature__root_word__next_user_utterance__care	116.3272	0.0000
138	6-entity_feature__entity__next_system_utterance__6_pounds_MONEY	116.2243	0.0000
139	8.1-lda_feature.next_system_utterance__topic_45	114.8437	0.0000
140	5-phrase_feature__noun_phrases__current_user_utterance__television	113.3288	0.0000
141	7-syntactic_feature__root_word__next_system_utterance__area	113.2139	0.0000
142	4.1-ngram.current_user_utterance__whats	112.2874	0.0000
143	5-phrase_feature__noun_phrases__next_user_utterance__doesnt_matter	109.8182	0.0000
144	2.1-user_action_words.next_user_utterance__ani	109.6601	0.0000
145	5-phrase_feature__noun_phrases__next_system_utterance__carringtons	109.2879	0.0000
146	5-phrase_feature__noun_phrases__next_system_utterance__castle	107.4555	0.0000
147	7-syntactic_feature__root_word__next_system_utterance__is	107.1013	0.0000
148	7-syntactic_feature__root_word__next_system_utterance__cheap	105.2351	0.0000
149	8.1-lda_feature.next_system_utterance__topic_49	103.8854	0.0000
150	5-phrase_feature__noun_phrases__next_system_utterance__anything	103.7846	0.0000
151	7-syntactic_feature__root_word__next_system_utterance__help	103.7846	0.0000
