id	name	chi2	pval
0	3-time_feature__turns_to_end	7065.4556	0.0000
1	3-time_feature__turns_from_start	2789.4349	0.0000
2	5-phrase_feature__noun_phrases__#overlop	2295.6200	0.0000
3	4.2-edit_distance__edit_distance	1656.0673	0.0000
4	7-syntactic_feature__subj_word__next_system_utterance__you	1539.9739	0.0000
5	8.2-lda_similarity__cosine	1386.5788	0.0000
6	7-syntactic_feature__root_word__next_system_utterance__like	1123.1886	0.0000
7	2.3-action_jaccard_similarity__jaccard_similarity	1070.3982	0.0000
8	5-phrase_feature__noun_phrases__jaccard_similarity	1050.5701	0.0000
9	5-phrase_feature__noun_phrases__have_overlop	1040.8494	0.0000
10	4.3-jaccard_similarity__jaccard_similarity	919.6729	0.0000
11	7-syntactic_feature__root_word__next_user_utterance__thank	860.9519	0.0000
12	5-phrase_feature__noun_phrases__next_system_utterance__kind	808.9635	0.0000
13	7-syntactic_feature__obj_word__next_system_utterance__kind	799.8205	0.0000
14	5-phrase_feature__noun_phrases__next_user_utterance__bye	768.9327	0.0000
15	5-phrase_feature__noun_phrases__next_user_utterance__good_bye	768.8533	0.0000
16	7-syntactic_feature__obj_word__next_user_utterance__bye	705.3145	0.0000
17	5-phrase_feature__noun_phrases__next_system_utterance__number	599.6237	0.0000
18	5-phrase_feature__noun_phrases__next_system_utterance__phone_number	599.6237	0.0000
19	5-phrase_feature__noun_phrases__next_system_utterance__phone	599.6237	0.0000
20	7-syntactic_feature__subj_word__next_system_utterance__number	598.5574	0.0000
21	8.1-lda_feature.next_system_utterance__topic_17	593.9780	0.0000
22	8.1-lda_feature.next_user_utterance__topic_46	592.1962	0.0000
23	1-utterance_length.next_user_utterance__utterance_length	586.5285	0.0000
24	6-entity_feature__entity__next_system_utterance__01223_DATE	547.9007	0.0000
25	5-phrase_feature__noun_phrases__next_user_utterance__number	512.0169	0.0000
26	2.1-user_action_words.next_user_utterance__number	512.0169	0.0000
27	5-phrase_feature__noun_phrases__next_user_utterance__phone_number	509.0790	0.0000
28	7-syntactic_feature__root_words_overlap	504.9026	0.0000
29	2.1-user_action_words.next_user_utterance__phone	502.1014	0.0000
30	5-phrase_feature__noun_phrases__next_user_utterance__phone	502.1014	0.0000
31	2.1-user_action_words.current_user_utterance__address	442.7734	0.0000
32	5-phrase_feature__noun_phrases__current_user_utterance__address	441.8675	0.0000
33	2.1-user_action_words.current_user_utterance__number	431.4512	0.0000
34	5-phrase_feature__noun_phrases__current_user_utterance__number	431.4512	0.0000
35	5-phrase_feature__noun_phrases__current_user_utterance__phone_number	428.1828	0.0000
