model,accuracy,precision,recall,f1_score,training_time,test_time
LinearSVC.loss=l2.penalty=l2,0.856968982298,0.636115573648,0.549612045731,0.575966797614,0.0410550832748,0.000280022621155
SGDClassifier.penalty=l2,0.846193313645,0.591631095032,0.532427362057,0.550644941446,0.0309854745865,0.000478982925415
LinearSVC.loss=l2.penalty=l1,0.841983644136,0.602707960692,0.525127792767,0.546897688114,0.0662150382996,0.000252366065979
SGDClassifier.penalty=l1,0.846125135226,0.618923594688,0.563417340474,0.582866773715,0.072114944458,0.0003981590271
SGDClassifier.penalty=elasticnet,0.846576295477,0.598927965015,0.539853804764,0.558950711035,0.0903121232986,0.000382661819458
NearestCentroid,0.833690922183,0.578582181207,0.490731144131,0.512210049405,0.00255346298218,0.000771045684814
MultinomialNB,0.784820562055,0.51557208644,0.557543773271,0.529341487485,0.00153660774231,0.000322461128235
BernoulliNB,0.796518030757,0.526843234285,0.552376794875,0.533022443123,0.00192391872406,0.000954508781433
LinearSVC+L1-FeatSel,0.849413004686,0.62872258582,0.534472171765,0.561328546237,0.0889419317245,0.00160050392151
RBF SVC with C=1.000000,0.735213457585,0.183803364396,0.25,0.211850799011,0.25908100605,0.116324424744
RBF SVC with C=5.000000,0.735213457585,0.183803364396,0.25,0.211850799011,0.354284524918,0.136565566063
RBF SVC with C=10.000000,0.735213457585,0.183803364396,0.25,0.211850799011,0.391781568527,0.140307664871
