id,name,prefix,chi2,pval
0,b'3-time_feature__turns_from_start',b'3',7328.0899,0.0000
1,b'3-time_feature__time_ratio',b'3',2873.4959,0.0000
2,b'7-syntactic_feature__subj_word__next_system_utterance__steakhous',b'7',1521.9407,0.0000
3,b'7-syntactic_feature__root_word__next_system_utterance__g4',b'7',1172.1812,0.0000
4,b'7-syntactic_feature__root_word__next_user_utterance__static',b'7',938.0234,0.0000
5,b'5-phrase_feature__noun_phrases__next_user_utterance__breathing',b'5',842.5880,0.0000
6,b'5-phrase_feature__noun_phrases__next_user_utterance__gastropub_type',b'5',839.6950,0.0000
7,b'7-syntactic_feature__obj_word__current_user_utterance__someth',b'7',819.2124,0.0000
8,b'5-phrase_feature__noun_phrases__next_system_utterance__johns',b'5',806.6716,0.0000
9,b'7-syntactic_feature__obj_word__next_system_utterance__bar',b'7',767.8040,0.0000
10,b'5-phrase_feature__noun_phrases__next_system_utterance__north_part',b'5',579.7128,0.0000
11,b'5-phrase_feature__noun_phrases__next_system_utterance__peking_restaurant',b'5',579.7128,0.0000
12,b'5-phrase_feature__noun_phrases__next_system_utterance__persian_food',b'5',579.7128,0.0000
13,b'7-syntactic_feature__subj_word__next_system_utterance__kohinoor',b'7',578.6295,0.0000
14,b'1-utterance_length.next_system_utterance__utterance_length',b'1',544.2346,0.0000
15,b'6-entity_feature__entity__current_user_utterance__one_NUMBER',b'6',529.1960,0.0000
16,b'5-phrase_feature__noun_phrases__next_user_utterance__noise_breath_whats',b'5',520.1140,0.0000
17,b'2.1-user_action_words.next_user_utterance__north',b'2.1',520.1140,0.0000
18,b'5-phrase_feature__noun_phrases__next_user_utterance__peace',b'5',516.6008,0.0000
19,b'2.1-user_action_words.next_user_utterance__part',b'2.1',509.6378,0.0000
20,b'5-phrase_feature__noun_phrases__next_user_utterance__part',b'5',509.6378,0.0000
21,b'5-phrase_feature__noun_phrases__next_system_utterance__yu_garden',b'5',469.2006,0.0000
22,b'7-syntactic_feature__root_word__next_system_utterance__newnham',b'7',467.9169,0.0000
23,b'1-utterance_length.next_user_utterance__utterance_length',b'1',467.7490,0.0000
24,b'7-syntactic_feature__root_word__current_user_utterance__un',b'7',458.4822,0.0000
25,b'5-phrase_feature__noun_phrases__next_user_utterance__canapes',b'5',434.4164,0.0000
26,b'2.1-user_action_words.current_user_utterance__address',b'2.1',426.6824,0.0000
27,b'5-phrase_feature__next_noun_phrases__#overlap',b'5',425.7890,0.0000
28,b'5-phrase_feature__noun_phrases__next_system_utterance__milton',b'5',424.7631,0.0000
29,b'7-syntactic_feature__root_word__next_system_utterance__common',b'7',424.7631,0.0000
30,b'7-syntactic_feature__obj_word__current_user_utterance__that',b'7',424.7631,0.0000
31,b'5-phrase_feature__noun_phrases__current_user_utterance__north_part',b'5',410.6642,0.0000
32,b'2.1-user_action_words.current_user_utterance__number',b'2.1',410.6642,0.0000
33,b'5-phrase_feature__noun_phrases__current_user_utterance__persian_food',b'5',407.2975,0.0000
34,b'5-phrase_feature__noun_phrases__current_user_utterance__part_town',b'5',407.0356,0.0000
35,b'2.1-user_action_words.current_user_utterance__phone',b'2.1',407.0356,0.0000
36,b'7-syntactic_feature__subj_word__next_system_utterance__galleria',b'7',397.4483,0.0000
37,b'2.1-user_action_words.next_user_utterance__expens',b'2.1',385.1523,0.0000
38,b'5-phrase_feature__noun_phrases__next_user_utterance__fen_ditton',b'5',385.1523,0.0000
39,b'5-phrase_feature__noun_phrases__next_system_utterance__park_clifton',b'5',383.2503,0.0000
40,b'7-syntactic_feature__root_word__next_user_utterance__unusu',b'7',380.8588,0.0000
41,b'5-phrase_feature__noun_phrases__current_user_utterance__rest',b'5',373.9228,0.0000
42,b'5-phrase_feature__noun_phrases__next_system_utterance__loch',b'5',367.7857,0.0000
43,b'7-syntactic_feature__obj_word__current_user_utterance__there',b'7',349.5679,0.0000
44,b'5-phrase_feature__noun_phrases__next_system_utterance__retail_park_newmarket',b'5',335.9529,0.0000
45,b'5-phrase_feature__noun_phrases__next_system_utterance__sitar',b'5',335.0703,0.0000
46,b'3-time_feature__turns_to_end',b'3',325.2387,0.0000
47,b'7-syntactic_feature__root_word__next_user_utterance__could',b'7',319.4758,0.0000
