dataset,context_set,feature_set,model,accuracy,precision,recall,f1_score
family,next,2-lexical,LR.pen=l1.C=8.000000,0.871407270216,0.739391499129,0.65559558646,0.667957598701
ghome,next,2-lexical,LinearSVC.pen=l1.C=0.062500,0.898514002667,0.702456246895,0.607932071936,0.635706551293
ghome,next,2-lexical,LR.pen=l1.C=0.062500,0.899103532948,0.677257796886,0.595953203603,0.617036784323
ghome,next,2-lexical,LinearSVC.pen=l1.C=0.125000,0.898514002667,0.694886800151,0.607344427177,0.633826475224
ghome,next,2-lexical,LR.pen=l1.C=0.125000,0.899103532948,0.685319255774,0.598098959617,0.619430865498
ghome,next,2-lexical,LinearSVC.pen=l1.C=0.250000,0.897924472386,0.723337924177,0.612954248147,0.642619818269
ghome,next,2-lexical,LR.pen=l1.C=0.250000,0.897762536779,0.647455901142,0.591300313091,0.609462663728
ghome,next,2-lexical,LinearSVC.pen=l1.C=0.500000,0.896804682373,0.701185438349,0.608996633257,0.635024324241
ghome,next,2-lexical,LR.pen=l1.C=0.500000,0.89756355708,0.669880487202,0.592797193719,0.612527152767
ghome,next,2-lexical,LinearSVC.pen=l1.C=1.000000,0.896760229462,0.702267492999,0.611600436624,0.635991339482
ghome,next,2-lexical,LR.pen=l1.C=1.000000,0.898904553248,0.711693826376,0.598691090313,0.622068570499
ghome,next,2-lexical,LinearSVC.pen=l1.C=2.000000,0.895441459749,0.717703675393,0.611924967245,0.635890347144
ghome,next,2-lexical,LR.pen=l1.C=2.000000,0.898705573548,0.735277996753,0.60158562828,0.627900089015
ghome,next,2-lexical,LinearSVC.pen=l1.C=4.000000,0.888928049787,0.683250810359,0.596925345831,0.613925694471
ghome,next,2-lexical,LR.pen=l1.C=4.000000,0.897548739442,0.723156363013,0.597905258068,0.6217341337
ghome,next,2-lexical,LinearSVC.pen=l1.C=8.000000,0.882834825681,0.681740405391,0.583797050036,0.595313043019
ghome,next,2-lexical,LR.pen=l1.C=8.000000,0.894483605343,0.728935257425,0.58909769087,0.612974243768
