id,name,prefix,f-test,pval
13203,9.2.1-w2v_similarity.next_user_utterance_pairs__cosine,9.2.1,66.5115,0.0000
1324,4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity,4.3.1,55.4898,0.0000
13204,9.3.1-wmd_similarity.next_user_utterance_pairs__wmd_distance,9.3.1,52.6451,0.0000
21306,11.2.1-skipthought_similarity.next_user_utterance_pairs__cosine,11.2.1,52.4436,0.0000
7912,5-phrase_feature__next_noun_phrases__have_overlap,5,49.0624,0.0000
12302,8.2.1-lda_similarity.next_user_utterance_pairs__cosine,8.2.1,46.0818,0.0000
11023,7-syntactic_feature__next_root_words_overlap,7,45.7145,0.0000
7913,5-phrase_feature__next_noun_phrases__jaccard_similarity,5,34.8047,0.0000
7911,5-phrase_feature__next_noun_phrases__#overlap,5,28.7641,0.0000
25,2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity,2.3.1,21.0590,0.0000
11024,7-syntactic_feature__next_subj_words_overlap,7,5.9387,0.0148
11022,7-syntactic_feature__next_obj_words_overlap,7,0.7288,0.3933
14105,10.2.1-d2v_similarity.next_user_utterance_pairs__cosine,10.2.1,0.1011,0.7505
11019,6-entity_feature__next_entity__#overlap,6,0.0727,0.7875
11020,6-entity_feature__next_entity__have_overlap,6,0.0727,0.7875
11021,6-entity_feature__next_entity__jaccard_similarity,6,0.0727,0.7875
1323,4.2.1-edit_distance.next_user_utterance_pairs__edit_distance,4.2.1,0.0229,0.8796
