id,name,prefix,f-test,pval
961,4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity,4.3.1,239.7200,0.0000
9627,9.2.1-w2v_similarity.next_user_utterance_pairs__cosine,9.2.1,227.2851,0.0000
8726,8.2.1-lda_similarity.next_user_utterance_pairs__cosine,8.2.1,162.2476,0.0000
5239,5-phrase_feature__next_noun_phrases__jaccard_similarity,5,123.3791,0.0000
7667,7-syntactic_feature__next_root_words_overlap,7,120.4520,0.0000
960,4.2.1-edit_distance.next_user_utterance_pairs__edit_distance,4.2.1,119.7254,0.0000
5237,5-phrase_feature__next_noun_phrases__#overlap,5,69.4759,0.0000
17730,11.2.1-skipthought_similarity.next_user_utterance_pairs__cosine,11.2.1,64.8687,0.0000
5238,5-phrase_feature__next_noun_phrases__have_overlap,5,46.7045,0.0000
27,2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity,2.3.1,44.4591,0.0000
10529,10.2.1-d2v_similarity.next_user_utterance_pairs__cosine,10.2.1,31.8798,0.0000
7668,7-syntactic_feature__next_subj_words_overlap,7,19.4138,0.0000
7663,6-entity_feature__next_entity__#overlap,6,0.4032,0.5255
7664,6-entity_feature__next_entity__have_overlap,6,0.4032,0.5255
7665,6-entity_feature__next_entity__jaccard_similarity,6,0.4032,0.5255
7666,7-syntactic_feature__next_obj_words_overlap,7,0.1366,0.7117
9628,9.3.1-wmd_similarity.next_user_utterance_pairs__wmd_distance,9.3.1,0.1225,0.7264
