id,name,prefix,f-test,pval
36930,10.2.1-d2v_similarity.next_user_utterance_pairs__cosine,10.2.1,13.3301,0.0003
30643,7-syntactic_feature__next_root_words_overlap,7,7.2525,0.0071
36029,9.3.1-wmd_similarity.next_user_utterance_pairs__wmd_distance,9.3.1,5.7073,0.0169
43,2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity,2.3.1,5.3333,0.0210
30644,7-syntactic_feature__next_subj_words_overlap,7,4.7010,0.0302
36028,9.2.1-w2v_similarity.next_user_utterance_pairs__cosine,9.2.1,4.6708,0.0307
30640,6-entity_feature__next_entity__have_overlap,6,3.8414,0.0501
30639,6-entity_feature__next_entity__#overlap,6,2.3291,0.1270
30642,7-syntactic_feature__next_obj_words_overlap,7,1.3303,0.2488
35127,8.2.1-lda_similarity.next_user_utterance_pairs__cosine,8.2.1,1.1958,0.2742
30641,6-entity_feature__next_entity__jaccard_similarity,6,0.9526,0.3291
12167,5-phrase_feature__next_noun_phrases__jaccard_similarity,5,0.9311,0.3346
12165,5-phrase_feature__next_noun_phrases__#overlap,5,0.8776,0.3489
12166,5-phrase_feature__next_noun_phrases__have_overlap,5,0.5332,0.4653
44131,11.2.1-skipthought_similarity.next_user_utterance_pairs__cosine,11.2.1,0.3362,0.5621
2948,4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity,4.3.1,0.1355,0.7128
17987,5-phrase_feature__noun_phrases__next_system_utterance__distance,5,0.0238,0.8773
2947,4.2.1-edit_distance.next_user_utterance_pairs__edit_distance,4.2.1,0.0142,0.9051
