id,name,prefix,f-test,pval
12302,8.2.1-lda_similarity.next_user_utterance_pairs__cosine,8.2.1,2425.8233,0.0000
7912,5-phrase_feature__next_noun_phrases__have_overlap,5,1977.6338,0.0000
7913,5-phrase_feature__next_noun_phrases__jaccard_similarity,5,1798.9850,0.0000
1324,4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity,4.3.1,1458.5147,0.0000
7911,5-phrase_feature__next_noun_phrases__#overlap,5,1420.4249,0.0000
13204,9.3.1-wmd_similarity.next_user_utterance_pairs__wmd_distance,9.3.1,1152.1671,0.0000
13203,9.2.1-w2v_similarity.next_user_utterance_pairs__cosine,9.2.1,927.7788,0.0000
25,2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity,2.3.1,802.0787,0.0000
21306,11.2.1-skipthought_similarity.next_user_utterance_pairs__cosine,11.2.1,600.7264,0.0000
11023,7-syntactic_feature__next_root_words_overlap,7,434.9550,0.0000
14105,10.2.1-d2v_similarity.next_user_utterance_pairs__cosine,10.2.1,319.2426,0.0000
1323,4.2.1-edit_distance.next_user_utterance_pairs__edit_distance,4.2.1,144.2510,0.0000
11024,7-syntactic_feature__next_subj_words_overlap,7,58.5090,0.0000
11022,7-syntactic_feature__next_obj_words_overlap,7,43.6652,0.0000
11020,6-entity_feature__next_entity__have_overlap,6,1.0597,0.3033
11019,6-entity_feature__next_entity__#overlap,6,1.0597,0.3033
11021,6-entity_feature__next_entity__jaccard_similarity,6,1.0597,0.3033
