id,name,prefix,f-test,pval
8726,8.2.1-lda_similarity.next_user_utterance_pairs__cosine,8.2.1,4497.0879,0.0000
961,4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity,4.3.1,2862.2276,0.0000
9627,9.2.1-w2v_similarity.next_user_utterance_pairs__cosine,9.2.1,2500.7916,0.0000
5239,5-phrase_feature__next_noun_phrases__jaccard_similarity,5,2411.7313,0.0000
9628,9.3.1-wmd_similarity.next_user_utterance_pairs__wmd_distance,9.3.1,2243.0424,0.0000
27,2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity,2.3.1,1986.7558,0.0000
5238,5-phrase_feature__next_noun_phrases__have_overlap,5,1882.5990,0.0000
5237,5-phrase_feature__next_noun_phrases__#overlap,5,1745.6328,0.0000
17730,11.2.1-skipthought_similarity.next_user_utterance_pairs__cosine,11.2.1,1606.8224,0.0000
7667,7-syntactic_feature__next_root_words_overlap,7,763.3205,0.0000
10529,10.2.1-d2v_similarity.next_user_utterance_pairs__cosine,10.2.1,148.2605,0.0000
960,4.2.1-edit_distance.next_user_utterance_pairs__edit_distance,4.2.1,113.8974,0.0000
7668,7-syntactic_feature__next_subj_words_overlap,7,47.2523,0.0000
7666,7-syntactic_feature__next_obj_words_overlap,7,27.2247,0.0000
7664,6-entity_feature__next_entity__have_overlap,6,3.5634,0.0591
7663,6-entity_feature__next_entity__#overlap,6,3.5634,0.0591
7665,6-entity_feature__next_entity__jaccard_similarity,6,3.5634,0.0591
