id,name,prefix,f-test,pval
12302,8.2.1-lda_similarity.next_user_utterance_pairs__cosine,8.2.1,822.4738,0.0000
7912,5-phrase_feature__next_noun_phrases__have_overlap,5,665.2818,0.0000
7913,5-phrase_feature__next_noun_phrases__jaccard_similarity,5,602.7537,0.0000
1324,4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity,4.3.1,503.6773,0.0000
13204,9.3.1-wmd_similarity.next_user_utterance_pairs__wmd_distance,9.3.1,478.8951,0.0000
7911,5-phrase_feature__next_noun_phrases__#overlap,5,475.5611,0.0000
13203,9.2.1-w2v_similarity.next_user_utterance_pairs__cosine,9.2.1,368.4196,0.0000
25,2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity,2.3.1,270.6010,0.0000
21306,11.2.1-skipthought_similarity.next_user_utterance_pairs__cosine,11.2.1,222.4835,0.0000
11023,7-syntactic_feature__next_root_words_overlap,7,175.0222,0.0000
14105,10.2.1-d2v_similarity.next_user_utterance_pairs__cosine,10.2.1,131.2747,0.0000
1323,4.2.1-edit_distance.next_user_utterance_pairs__edit_distance,4.2.1,52.3296,0.0000
11024,7-syntactic_feature__next_subj_words_overlap,7,27.6607,0.0000
11022,7-syntactic_feature__next_obj_words_overlap,7,14.7812,0.0000
11020,6-entity_feature__next_entity__have_overlap,6,0.4950,0.6858
11019,6-entity_feature__next_entity__#overlap,6,0.4950,0.6858
11021,6-entity_feature__next_entity__jaccard_similarity,6,0.4950,0.6858
