,1,10.1,10.2.1,11.1,11.2.1,2.1,2.2,2.3.1,3,4.1,4.2.1,4.3.1,5,6,7,8.1,8.2.1,9.1,9.2.1,9.3.1
,1-utterance length,10.1-d2v_features,10.2.1-d2v_similarity.next_user_utterance_pairs,11.1-skipthought_features,11.2.1-skipthought_similarity.next_user_utterance_pairs,2.1-user action words,2.2-number of user action words,2.3.1-action_jaccard_similarity.next_user_utterance_pairs,3-time features,4.1-n_gram,4.2.1-edit_distance.next_user_utterance_pairs,4.3.1-jaccard_similarity.next_user_utterance_pairs,5-noun phrase,6-entity,7-syntactic features,8.1-LDA_features,8.2.1-lda_similarity.next_user_utterance_pairs,9.1-w2v_features,9.2.1-w2v_similarity.next_user_utterance_pairs,9.3.1-wmd_similarity.next_user_utterance_pairs
dstc2,3,900,1,7200,1,50,2,1,5,5174,1,1,2184,245,910,150,1,900,1,1
dstc3,3,900,1,7200,1,46,2,1,5,7852,1,1,2624,487,1130,150,1,900,1,1
family,3,900,1,7200,1,52,2,1,5,24419,1,1,14903,2978,4659,150,1,900,1,1
ghome,3,900,1,7200,1,82,2,1,5,12070,1,1,14947,3530,4335,150,1,900,1,1
