id,name,prefix,f-test,pval
9628,9.3.1-wmd_similarity.next_user_utterance_pairs__wmd_distance,9.3.1,1237.9990,0.0000
8726,8.2.1-lda_similarity.next_user_utterance_pairs__cosine,8.2.1,966.0185,0.0000
27,2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity,2.3.1,668.1689,0.0000
5238,5-phrase_feature__next_noun_phrases__have_overlap,5,619.9039,0.0000
5239,5-phrase_feature__next_noun_phrases__jaccard_similarity,5,583.2256,0.0000
5237,5-phrase_feature__next_noun_phrases__#overlap,5,507.1116,0.0000
961,4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity,4.3.1,481.2997,0.0000
17730,11.2.1-skipthought_similarity.next_user_utterance_pairs__cosine,11.2.1,454.4034,0.0000
9627,9.2.1-w2v_similarity.next_user_utterance_pairs__cosine,9.2.1,413.7254,0.0000
7667,7-syntactic_feature__next_root_words_overlap,7,118.7094,0.0000
10529,10.2.1-d2v_similarity.next_user_utterance_pairs__cosine,10.2.1,30.4726,0.0000
7666,7-syntactic_feature__next_obj_words_overlap,7,14.1559,0.0002
7668,7-syntactic_feature__next_subj_words_overlap,7,1.4056,0.2358
7664,6-entity_feature__next_entity__have_overlap,6,0.8820,0.3477
7663,6-entity_feature__next_entity__#overlap,6,0.8820,0.3477
7665,6-entity_feature__next_entity__jaccard_similarity,6,0.8820,0.3477
960,4.2.1-edit_distance.next_user_utterance_pairs__edit_distance,4.2.1,0.1113,0.7387
