id,name,prefix,f-test,pval
13203,9.2.1-w2v_similarity.next_user_utterance_pairs__cosine,9.2.1,329.2695,0.0000
1324,4.3.1-jaccard_similarity.next_user_utterance_pairs__jaccard_similarity,4.3.1,209.5987,0.0000
11023,7-syntactic_feature__next_root_words_overlap,7,163.6922,0.0000
21306,11.2.1-skipthought_similarity.next_user_utterance_pairs__cosine,11.2.1,144.3186,0.0000
7912,5-phrase_feature__next_noun_phrases__have_overlap,5,143.8982,0.0000
7913,5-phrase_feature__next_noun_phrases__jaccard_similarity,5,121.0354,0.0000
7911,5-phrase_feature__next_noun_phrases__#overlap,5,119.5098,0.0000
25,2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity,2.3.1,102.5285,0.0000
12302,8.2.1-lda_similarity.next_user_utterance_pairs__cosine,8.2.1,90.9745,0.0000
11024,7-syntactic_feature__next_subj_words_overlap,7,42.1921,0.0000
13204,9.3.1-wmd_similarity.next_user_utterance_pairs__wmd_distance,9.3.1,8.9553,0.0028
11022,7-syntactic_feature__next_obj_words_overlap,7,8.0191,0.0046
14105,10.2.1-d2v_similarity.next_user_utterance_pairs__cosine,10.2.1,2.9023,0.0885
11020,6-entity_feature__next_entity__have_overlap,6,0.7985,0.3716
11019,6-entity_feature__next_entity__#overlap,6,0.7985,0.3716
11021,6-entity_feature__next_entity__jaccard_similarity,6,0.7985,0.3716
1323,4.2.1-edit_distance.next_user_utterance_pairs__edit_distance,4.2.1,0.7190,0.3965
