dataset,context_set,feature_set,model,accuracy,precision,recall,f1_score
dstc2,next,7-d2v,LinearSVC.pen=l1.C=0.250000,0.775785849626,0.741393256138,0.596741519062,0.613983035364
dstc2,next,7-d2v,LinearSVC.pen=l2.C=0.250000,0.758133446501,0.643363575985,0.600482048574,0.613684395649
dstc2,next,7-d2v,LR.pen=l1.C=0.250000,0.775776883857,0.754442486196,0.585409865341,0.599467143542
dstc2,next,7-d2v,LR.pen=l2.C=0.250000,0.768946761265,0.674367554543,0.610911645567,0.627502138063
dstc2,next,7-d2v,RBF SVC with C=0.250000,0.777173451761,0.608527828628,0.565290040192,0.564148317258
dstc3,next,7-d2v,LinearSVC.pen=l1.C=0.250000,0.75040473642,0.683064759306,0.592548560483,0.612985652149
dstc3,next,7-d2v,LinearSVC.pen=l2.C=0.250000,0.726181874944,0.608847436929,0.585882252921,0.592779870816
dstc3,next,7-d2v,LR.pen=l1.C=0.250000,0.752765698867,0.725738967093,0.578724491341,0.600433714168
dstc3,next,7-d2v,LR.pen=l2.C=0.250000,0.732055012934,0.63016064045,0.593721291233,0.604996439636
dstc3,next,7-d2v,RBF SVC with C=0.250000,0.752416153778,0.7295082525,0.534818252243,0.532705218214
family,next,7-d2v,LinearSVC.pen=l1.C=0.250000,0.799160283777,0.607799375943,0.562204358898,0.576686532866
family,next,7-d2v,LinearSVC.pen=l2.C=0.250000,0.768556943747,0.549810983419,0.544188425306,0.544689681258
family,next,7-d2v,LR.pen=l1.C=0.250000,0.811644588147,0.6368630659,0.551051439313,0.5750163587
family,next,7-d2v,LR.pen=l2.C=0.250000,0.78927988448,0.584948419335,0.566687619379,0.572278288758
family,next,7-d2v,RBF SVC with C=0.250000,0.763490394274,0.630928036247,0.403056213744,0.418038153795
ghome,next,7-d2v,LinearSVC.pen=l1.C=0.250000,0.84337969137,0.569800875328,0.518112973857,0.535257095373
ghome,next,7-d2v,LinearSVC.pen=l2.C=0.250000,0.834405495227,0.552347559011,0.537061886289,0.542573710727
ghome,next,7-d2v,LR.pen=l1.C=0.250000,0.849554412481,0.595494507628,0.517897715181,0.543514565319
ghome,next,7-d2v,LR.pen=l2.C=0.250000,0.835739082577,0.558141103941,0.531897511249,0.540930184446
ghome,next,7-d2v,RBF SVC with C=0.250000,0.830426959633,0.516785188462,0.421507584929,0.449502134364
