dataset,context_set,feature_set,model,accuracy,precision,recall,f1_score
dstc2,next,6-w2v,LR.pen=l1.C=1.000000,0.818643001022,0.733798232284,0.673646323025,0.691943243438
dstc3,next,6-w2v,LR.pen=l1.C=1.000000,0.798873985372,0.728032802093,0.672242565906,0.691937003227
family,next,6-w2v,LR.pen=l1.C=1.000000,0.827939163737,0.64619591493,0.60593747583,0.620869555362
ghome,next,6-w2v,LR.pen=l1.C=1.000000,0.864731906607,0.621873575914,0.594855813862,0.604286333162
