id,name,prefix,chi2,pval
9980,b'4.1-ngram.next_system_utterance__lion lamb located',b'4.1',0.9699,0.8085
9981,b'4.1-ngram.next_system_utterance__lamb outstanding',b'4.1',0.9699,0.8085
9982,b'4.1-ngram.next_system_utterance__lamb moderate price',b'4.1',0.9699,0.8085
9983,b'4.1-ngram.next_system_utterance__tex mex greek',b'4.1',0.9696,0.8086
9984,b'4.1-ngram.next_system_utterance__town serves american',b'4.1',0.9695,0.8086
9985,b'4.1-ngram.next_system_utterance__located 40 42',b'4.1',0.9690,0.8087
9986,b'4.1-ngram.next_system_utterance__sitar tandoori 43',b'4.1',0.9690,0.8087
9987,b'4.1-ngram.next_system_utterance__tandoori cherry hinton',b'4.1',0.9690,0.8087
9988,b'4.1-ngram.next_system_utterance__tandoori great',b'4.1',0.9690,0.8087
9989,b'4.1-ngram.next_system_utterance__40',b'4.1',0.9688,0.8088
9990,b'4.1-ngram.next_system_utterance__3qa',b'4.1',0.9688,0.8088
9991,b'4.1-ngram.next_system_utterance__40 42',b'4.1',0.9688,0.8088
9992,b'4.1-ngram.next_system_utterance__3qn',b'4.1',0.9688,0.8088
9993,b'4.1-ngram.next_system_utterance__35 saint andrew',b'4.1',0.9680,0.8090
9994,b'4.1-ngram.next_system_utterance__35 15 pounds',b'4.1',0.9680,0.8090
9995,b'4.1-ngram.next_system_utterance__35 saint',b'4.1',0.9680,0.8090
9996,b'4.1-ngram.next_system_utterance__alma 01223316722 area',b'4.1',0.9672,0.8092
9997,b'4.1-ngram.current_user_utterance__im looking turkish',b'4.1',0.9669,0.8093
9998,b'4.1-ngram.current_user_utterance__looking turkish restaurant',b'4.1',0.9669,0.8093
9999,b'4.1-ngram.current_user_utterance__looking vegetarian',b'4.1',0.9669,0.8093
10000,b'4.1-ngram.next_user_utterance__address venue',b'4.1',0.9665,0.8093
10001,b'4.1-ngram.next_system_utterance__great cafe outstanding',b'4.1',0.9657,0.8095
10002,b'4.1-ngram.next_user_utterance__need address',b'4.1',0.9656,0.8096
10003,b'4.1-ngram.next_system_utterance__range television',b'4.1',0.9648,0.8098
10004,b'4.1-ngram.next_system_utterance__range serves',b'4.1',0.9648,0.8098
10005,b'4.1-ngram.next_system_utterance__course ely road',b'4.1',0.9648,0.8098
10006,b'4.1-ngram.next_system_utterance__carringtons located',b'4.1',0.9644,0.8099
10007,b'4.1-ngram.next_system_utterance__great pub cheap',b'4.1',0.9636,0.8101
10008,b'4.1-ngram.next_user_utterance__day',b'4.1',0.9630,0.8102
10009,b'4.1-ngram.next_system_utterance__clowns area postcode',b'4.1',0.9629,0.8102
10010,b'4.1-ngram.next_system_utterance__pound 80',b'4.1',0.9626,0.8103
