id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
0,1,b'1-utterance_length.current_user_utterance__utterance_length',50.3879,156,0.0223,61
20,2.1,b'2.1-user_action_words.current_user_utterance__remind',63.9066,114,0.0001,240
21,2.1,b'2.1-user_action_words.current_user_utterance__remov',92.9882,58,0.0010,191
36,2.1,b'2.1-user_action_words.current_user_utterance__timer',88.1845,63,0.0642,28
40,2.1,b'2.1-user_action_words.current_user_utterance__watch',59.7330,121,0.0161,68
44,3,b'3-time_feature__end_of_session',110.1752,41,0.3283,4
47,3,b'3-time_feature__turns_from_start',1855.8406,1,0.0249,54
48,3,b'3-time_feature__turns_to_end',1142.1987,2,0.0118,73
49,1,b'1-utterance_length.next_system_utterance__utterance_length',392.8140,4,0.1329,14
50,1,b'1-utterance_length.next_user_utterance__utterance_length',386.2874,5,0.0045,118
67,2.1,b'2.1-user_action_words.next_user_utterance__play',109.6144,44,0.0064,97
90,2.1,b'2.1-user_action_words.next_user_utterance__watch',80.9961,90,0.0157,69
122,5,b'5-phrase_feature__noun_phrases__current_user_utterance__account',41.9590,196,0.0055,105
550,5,b'5-phrase_feature__noun_phrases__current_user_utterance__calendar',55.9770,134,0.0227,58
709,5,b'5-phrase_feature__noun_phrases__current_user_utterance__chromecast',47.8848,165,0.0020,164
994,5,b'5-phrase_feature__noun_phrases__current_user_utterance__directions',47.7674,166,0.0013,182
1085,5,b'5-phrase_feature__noun_phrases__current_user_utterance__eastern',83.9180,69,0.0054,106
1486,5,b'5-phrase_feature__noun_phrases__current_user_utterance__habitat',41.9590,213,0.0338,45
1515,5,b'5-phrase_feature__noun_phrases__current_user_utterance__happy_holidays',41.9590,193,0.0351,43
1774,5,b'5-phrase_feature__noun_phrases__current_user_utterance__karma',41.9590,192,0.0019,166
1890,5,b'5-phrase_feature__noun_phrases__current_user_utterance__left_lamp',47.6859,167,0.0046,114
2005,5,b'5-phrase_feature__noun_phrases__current_user_utterance__love',110.0250,43,0.0005,207
2186,5,b'5-phrase_feature__noun_phrases__current_user_utterance__minutes',46.4813,170,0.0046,115
2338,5,b'5-phrase_feature__noun_phrases__current_user_utterance__netflix',59.2185,122,0.0003,224
2464,5,b'5-phrase_feature__noun_phrases__current_user_utterance__open_netflix',125.8770,31,0.1378,13
2840,5,b'5-phrase_feature__noun_phrases__current_user_utterance__red_light',83.9180,73,0.0014,177
2856,5,b'5-phrase_feature__noun_phrases__current_user_utterance__reminder',54.5186,147,0.0072,93
2962,5,b'5-phrase_feature__noun_phrases__current_user_utterance__samsung',41.9624,179,0.0000,266
3454,5,b'5-phrase_feature__noun_phrases__current_user_utterance__timer',89.1305,61,0.0072,94
3531,5,b'5-phrase_feature__noun_phrases__current_user_utterance__tunein',51.5776,150,0.1478,11
