model,accuracy,precision,recall,f1_score,training_time,test_time
LinearSVC.loss=l2.penalty=l2,0.793374600639,0.676530398946,0.613554763338,0.627205798938,0.263575553894,0.000661134719849
SGDClassifier.penalty=l2,0.752258386581,0.565982597384,0.544818485085,0.548872834943,0.0571838617325,0.000478029251099
LinearSVC.loss=l2.penalty=l1,0.80884784345,0.680165132665,0.617528826082,0.628327554531,0.994302034378,0.000438928604126
SGDClassifier.penalty=l1,0.788360623003,0.750592992968,0.599485901024,0.609917252473,0.18619954586,0.000521898269653
SGDClassifier.penalty=elasticnet,0.770303514377,0.690998208268,0.61231037681,0.620161346073,0.186544418335,0.000733494758606
NearestCentroid,0.449036541534,0.436176883976,0.457502256071,0.38544105201,0.00433647632599,0.0018230676651
MultinomialNB,0.744377995208,0.595531816818,0.620898330734,0.603719316321,0.00194954872131,0.000404000282288
BernoulliNB,0.721640375399,0.567727728847,0.594398846899,0.572574638393,0.00286388397217,0.00173652172089
LinearSVC+L1-FeatSel,0.792409145367,0.717033713548,0.621017650063,0.63738854655,1.67854952812,0.00253045558929
RBF SVC with C=1.000000,0.69133985623,0.510802240011,0.474992739176,0.464404675171,1.18305563927,0.471609592438
RBF SVC with C=5.000000,0.724814297125,0.527799266525,0.51216772253,0.507307837701,1.25742602348,0.524121999741
RBF SVC with C=10.000000,0.740280551118,0.537885349139,0.528938833799,0.524207118914,1.10021984577,0.410135626793
