model,accuracy,precision,recall,f1_score,training_time,test_time
LinearSVC.loss=l2.penalty=l2,0.871696212515,0.742910843521,0.643248905126,0.677618339671,0.585605502129,0.00114810466766
SGDClassifier.penalty=l2,0.712041083368,0.571144245231,0.416309351264,0.388846455585,0.100479125977,0.00155448913574
LinearSVC.loss=l2.penalty=l1,0.873819570166,0.740371281205,0.639835991527,0.670002467306,0.549432039261,0.000626802444458
SGDClassifier.penalty=l1,0.845446593414,0.656376503157,0.569652039128,0.581425523375,0.26139986515,0.00157737731934
SGDClassifier.penalty=elasticnet,0.763856315761,0.620392121955,0.528852405516,0.514487438138,0.309039473534,0.00187349319458
NearestCentroid,0.354187026116,0.322798314302,0.361519221503,0.270981192266,0.00877046585083,0.00319504737854
MultinomialNB,0.749319758375,0.558143210945,0.6504564772,0.579379475551,0.00361263751984,0.000847458839417
BernoulliNB,0.721380917385,0.534094883642,0.609126228909,0.546255972289,0.00397205352783,0.00368785858154
LinearSVC+L1-FeatSel,0.864513793042,0.733902996949,0.613790647094,0.652361629352,1.16724634171,0.0036792755127
RBF SVC with C=1.000000,0.713734248687,0.178433562172,0.25,0.208221880417,1.51748788357,0.492078661919
RBF SVC with C=5.000000,0.713734248687,0.178508138996,0.25,0.208273446755,1.32614505291,0.50651216507
RBF SVC with C=10.000000,0.712887486781,0.178447509952,0.249703273077,0.20812916707,1.6442129612,0.497428417206
