dataset,context_set,feature_set,model,accuracy,precision,recall,f1_score
dstc2,next,18-[8+1.2.3.4],LR.pen=l1.C=1.000000,0.818030459705,0.742255403871,0.688655701358,0.706542799132
dstc3,next,18-[8+1.2.3.4],LR.pen=l1.C=1.000000,0.788410935688,0.713884473817,0.677061916155,0.690729101948
family,next,18-[8+1.2.3.4],LR.pen=l1.C=1.000000,0.861208249623,0.718270752219,0.674922734273,0.691886118133
ghome,next,18-[8+1.2.3.4],LR.pen=l1.C=1.000000,0.885432780847,0.67355543366,0.615586661855,0.633514177949
