dataset,context_set,feature_set,model,accuracy,precision,recall,f1_score
dstc2,next,2-lexical,LinearSVC.pen=l1.C=2.000000,0.742690507642,0.6141664346,0.62004864925,0.615571434441
dstc2,next,2-lexical,LinearSVC.pen=l2.C=2.000000,0.708144504283,0.569523765103,0.603234833439,0.57860264548
dstc2,next,2-lexical,LR.pen=l1.C=2.000000,0.767662564329,0.661562633958,0.629968330386,0.641252926633
dstc2,next,2-lexical,LR.pen=l2.C=2.000000,0.729088539954,0.58489756774,0.598702201948,0.589031153605
dstc2,next,2-lexical,RBF SVC with C=2.000000,0.76108378212,0.638085128047,0.554414077354,0.559260019831
dstc3,next,2-lexical,LinearSVC.pen=l1.C=2.000000,0.711320912497,0.591041712647,0.574836398563,0.578385209969
dstc3,next,2-lexical,LinearSVC.pen=l2.C=2.000000,0.656920100794,0.531992838225,0.541087212654,0.534375155887
dstc3,next,2-lexical,LR.pen=l1.C=2.000000,0.739102778521,0.648263986764,0.592259916619,0.606980197887
dstc3,next,2-lexical,LR.pen=l2.C=2.000000,0.70258395772,0.582181255043,0.590997609045,0.584614405056
dstc3,next,2-lexical,RBF SVC with C=2.000000,0.763061948087,0.690528207642,0.549684248282,0.553523835852
family,next,2-lexical,LinearSVC.pen=l1.C=2.000000,0.837718169262,0.636801786474,0.605651538065,0.618586565258
family,next,2-lexical,LinearSVC.pen=l2.C=2.000000,0.732934141135,0.513226748129,0.55743435862,0.528426535295
family,next,2-lexical,LR.pen=l1.C=2.000000,0.851607232546,0.674537327844,0.62924353823,0.647332863171
family,next,2-lexical,LR.pen=l2.C=2.000000,0.812528252135,0.603009709982,0.595798402076,0.598024707165
family,next,2-lexical,RBF SVC with C=2.000000,0.847890507283,0.716448762429,0.604211777593,0.63008321438
ghome,next,2-lexical,LinearSVC.pen=l1.C=2.000000,0.839843568087,0.564361312583,0.528386021149,0.533160197145
ghome,next,2-lexical,LinearSVC.pen=l2.C=2.000000,0.7784234034,0.523963613014,0.551782211189,0.527423696363
ghome,next,2-lexical,LR.pen=l1.C=2.000000,0.860584026587,0.620692586191,0.532374056099,0.5526880351
ghome,next,2-lexical,LR.pen=l2.C=2.000000,0.836336021676,0.57125027822,0.563907004406,0.561638347067
ghome,next,2-lexical,RBF SVC with C=2.000000,0.860584026587,0.571208332645,0.492185665933,0.495782101451
