dataset,context_set,feature_set,model,accuracy,precision,recall,f1_score
dstc2,next,10-[5+1.3.4],LR.pen=l2.C=100000000000000000000.000000,0.755772460745,0.646200497276,0.68424583316,0.631243426837
dstc3,next,10-[5+1.3.4],LR.pen=l2.C=100000000000000000000.000000,0.79701275533,0.712525471894,0.653073265425,0.670619492097
family,next,10-[5+1.3.4],LR.pen=l2.C=100000000000000000000.000000,0.835899987443,0.65719036554,0.628633203176,0.635000214037
ghome,next,10-[5+1.3.4],LR.pen=l2.C=100000000000000000000.000000,0.873832687708,0.649287051053,0.609741096924,0.624080235452
