dataset,context_set,feature_set,model,accuracy,precision,recall,f1_score
dstc2,current,,cnn,0.7696491395850643,0.5671101600812767,0.5572360406402095,0.5544289774672374
dstc3,current,,cnn,0.756348898403354,0.5899933312297333,0.5437736374489612,0.5410456047416711
family,current,,cnn,0.8578606855851331,0.7040734495894467,0.6250190008854396,0.6386338936323908
ghome,current,,cnn,0.8660580851379097,0.6319702060618654,0.5711047322099332,0.5850194258507648
