,1,2.1,2.2,2.3.1,3,5,6,7,8.1,8.2.1
,1-utterance length,2.1-user action words,2.2-number of user action words,2.3.1-action_jaccard_similarity.next_user_utterance_pairs,3-time features,5-noun phrase,6-entity,7-syntactic features,8.1-LDA_features,8.2.1-lda_similarity.next_user_utterance_pairs
dstc2,3,50,2,1,5,2184,245,910,150,1
dstc3,3,46,2,1,5,2624,487,1130,150,1
family,3,52,2,1,5,14903,2978,4659,150,1
ghome,3,82,2,1,5,14947,3530,4335,150,1
