dataset,context_set,feature_set,model,accuracy,precision,recall,f1_score
family,last,3-phrasal,LinearSVC.pen=l1.C=2.000000,0.643229846811,0.271387920311,0.257099544632,0.247402353734
ghome,last,3-phrasal,LinearSVC.pen=l1.C=2.000000,0.63808915984,0.243442744458,0.246061206812,0.242830032843
dstc2,last,3-phrasal,LinearSVC.pen=l1.C=0.062500,0.382262302529,0.263877071378,0.26065025469,0.258378028677
dstc3,last,3-phrasal,LinearSVC.pen=l1.C=0.062500,0.382522411025,0.254191602179,0.257009317261,0.253034592507
