model,accuracy,precision,recall,f1_score,training_time,test_time
LinearSVC.loss=l2.penalty=l2,0.758636182109,0.625819240438,0.559344702542,0.569413315397,0.10361301899,0.000353574752808
SGDClassifier.penalty=l2,0.649934105431,0.55127488247,0.493485182298,0.48217575865,0.0443149805069,0.000449061393738
LinearSVC.loss=l2.penalty=l1,0.768095047923,0.655443429501,0.565873509733,0.579161470947,0.323724031448,0.000377655029297
SGDClassifier.penalty=l1,0.747218450479,0.536433666178,0.52152311419,0.516284721777,0.118805646896,0.000407695770264
SGDClassifier.penalty=elasticnet,0.741584464856,0.587383107403,0.539822250767,0.546391367251,0.120884895325,0.000396728515625
NearestCentroid,0.243936701278,0.300836769312,0.290898272469,0.207929808579,0.00317800045013,0.00125288963318
MultinomialNB,0.733065095847,0.562443477888,0.56355431233,0.561468742961,0.00134599208832,0.000304102897644
BernoulliNB,0.724898162939,0.5640689974,0.588508648648,0.571381975361,0.0021950006485,0.00122857093811
LinearSVC+L1-FeatSel,0.75494908147,0.634339821945,0.537621172098,0.545652084036,0.966812849045,0.00158393383026
RBF SVC with C=1.000000,0.577630790735,0.46045938709,0.368799748691,0.364270294015,1.30257713795,0.445592522621
RBF SVC with C=5.000000,0.627578873802,0.490178608346,0.410134790406,0.413239411418,1.25669801235,0.418916463852
RBF SVC with C=10.000000,0.683471445687,0.526565730929,0.455030826421,0.456116366291,1.21424353123,0.400547504425
