id,name,prefix,chi2,pval
69,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nleaving',b'5',214.5455,0.0000
70,b'5-phrase_feature__noun_phrases__next_system_utterance__laundry_soap',b'5',214.5064,0.0000
71,b'4.1-ngram.next_system_utterance__nutz',b'4.1',213.1769,0.0000
72,b'6-entity_feature__entity__next_system_utterance__6 at 9 am_TIME',b'6',211.4428,0.0000
73,b'7-syntactic_feature__root_word__next_system_utterance__sausag',b'7',210.9131,0.0000
74,b'7-syntactic_feature__root_word__current_user_utterance__past',b'7',209.8761,0.0000
75,b'5-phrase_feature__noun_phrases__next_system_utterance__n27',b'5',207.3310,0.0000
76,b'7-syntactic_feature__root_word__next_system_utterance__treat',b'7',201.7096,0.0000
77,b'5-phrase_feature__noun_phrases__next_system_utterance__anniversary',b'5',200.0801,0.0000
78,b'6-entity_feature__entity__next_system_utterance__8_NUMBER',b'6',197.4073,0.0000
79,b'7-syntactic_feature__root_word__current_user_utterance__wb',b'7',193.1827,0.0000
80,b'5-phrase_feature__noun_phrases__next_system_utterance__n38',b'5',185.8872,0.0000
81,b'4.1-ngram.next_system_utterance__new style',b'4.1',184.8938,0.0000
82,b'4.1-ngram.next_system_utterance__new style clip',b'4.1',184.8938,0.0000
83,b'7-syntactic_feature__root_word__next_system_utterance__know',b'7',179.8454,0.0000
84,b'5-phrase_feature__noun_phrases__next_system_utterance__italian_breadcrumbs',b'5',178.0366,0.0000
85,b'7-syntactic_feature__root_word__next_system_utterance__dayquil',b'7',175.6339,0.0000
86,b'5-phrase_feature__noun_phrases__next_system_utterance__lip',b'5',169.7379,0.0000
87,b'5-phrase_feature__noun_phrases__next_system_utterance__allspice',b'5',169.3287,0.0000
88,b'7-syntactic_feature__subj_word__next_system_utterance__verizon',b'7',168.8379,0.0000
89,b'7-syntactic_feature__root_word__next_system_utterance__abl',b'7',168.0968,0.0000
90,b'4.1-ngram.next_system_utterance__reminder member',b'4.1',165.8424,0.0000
91,b'4.1-ngram.next_system_utterance__reminder member nto',b'4.1',165.8424,0.0000
92,b'5-phrase_feature__noun_phrases__next_system_utterance__oil_\\_n2',b'5',162.9005,0.0000
93,b'5-phrase_feature__noun_phrases__next_system_utterance__n43',b'5',154.0066,0.0000
94,b'7-syntactic_feature__root_word__next_system_utterance__fraish',b'7',151.5956,0.0000
95,b'5-phrase_feature__noun_phrases__current_user_utterance__zuleima',b'5',151.3943,0.0000
96,b"7-syntactic_feature__root_word__next_system_utterance__'s",b'7',149.3719,0.0000
97,b'4.1-ngram.next_system_utterance__event',b'4.1',148.1015,0.0000
98,b'4.1-ngram.next_system_utterance__nfor example buy',b'4.1',146.2958,0.0000
99,b'4.1-ngram.next_system_utterance__example nyou',b'4.1',146.2958,0.0000
100,b'7-syntactic_feature__root_word__next_user_utterance__start',b'7',141.4652,0.0000
101,b'5-phrase_feature__noun_phrases__current_user_utterance__regarding_letter',b'5',139.6321,0.0000
102,b'4.1-ngram.next_user_utterance__dhanashree bloomingdales discount',b'4.1',134.5622,0.0000
103,b'7-syntactic_feature__root_word__next_system_utterance__sandwich',b'7',133.5681,0.0000
104,b'7-syntactic_feature__root_word__next_user_utterance__claim',b'7',130.3317,0.0000
105,b'5-phrase_feature__noun_phrases__next_system_utterance__n44',b'5',129.8713,0.0000
106,b'7-syntactic_feature__obj_word__next_system_utterance__spray',b'7',121.8116,0.0000
107,b'7-syntactic_feature__root_word__next_system_utterance__ramu',b'7',121.4450,0.0000
108,b'5-phrase_feature__noun_phrases__next_system_utterance__n45',b'5',120.1275,0.0000
109,b'2.1-user_action_words.current_user_utterance__item',b'2.1',117.9209,0.0000
110,b'5-phrase_feature__noun_phrases__next_user_utterance__tim',b'5',115.6314,0.0000
111,b'7-syntactic_feature__root_word__next_system_utterance__check',b'7',113.4673,0.0000
112,b'7-syntactic_feature__root_word__current_user_utterance__brush',b'7',113.0240,0.0000
113,b'7-syntactic_feature__root_word__next_system_utterance__burrito',b'7',111.5352,0.0000
114,b'5-phrase_feature__noun_phrases__next_system_utterance__tomato',b'5',108.0575,0.0000
115,b'7-syntactic_feature__root_word__current_user_utterance__7:32',b'7',106.3339,0.0000
116,b'5-phrase_feature__noun_phrases__next_system_utterance__registrations',b'5',105.2941,0.0000
117,b'4.1-ngram.next_system_utterance__lumber n5 aluminum',b'4.1',101.6853,0.0000
118,b'4.1-ngram.next_system_utterance__lumber n5',b'4.1',101.6853,0.0000
119,b'4.1-ngram.next_system_utterance__lenovo track',b'4.1',101.6853,0.0000
120,b'4.1-ngram.next_system_utterance__lenovo',b'4.1',101.6853,0.0000
121,b'4.1-ngram.next_system_utterance__tissues n4 milk',b'4.1',101.6853,0.0000
122,b'4.1-ngram.next_system_utterance__lenovo track programs',b'4.1',101.6853,0.0000
123,b'7-syntactic_feature__root_word__next_system_utterance__rava',b'7',101.5515,0.0000
124,b'7-syntactic_feature__root_word__next_system_utterance__monday5',b'7',101.1766,0.0000
125,b'4.1-ngram.next_system_utterance__example reminders',b'4.1',100.5301,0.0000
126,b'5-phrase_feature__noun_phrases__next_system_utterance__n8',b'5',100.3516,0.0000
127,b'5-phrase_feature__noun_phrases__next_system_utterance__n46',b'5',99.1617,0.0000
128,b'5-phrase_feature__noun_phrases__current_user_utterance__clay_buckets',b'5',98.9407,0.0000
129,b'7-syntactic_feature__subj_word__next_user_utterance__ok',b'7',98.8646,0.0000
130,b'7-syntactic_feature__obj_word__current_user_utterance__ll',b'7',96.9086,0.0000
131,b'6-entity_feature__entity__next_system_utterance__9 at 2 am_TIME',b'6',96.5926,0.0000
132,b'3-time_feature__end_of_session',b'3',94.2762,0.0000
133,b"5-phrase_feature__noun_phrases__next_system_utterance__n'help_reminders",b'5',88.4664,0.0000
134,b"5-phrase_feature__noun_phrases__next_system_utterance__n'lock",b'5',88.4664,0.0000
135,b'5-phrase_feature__noun_phrases__next_system_utterance__mustard_\\_n11',b'5',88.4664,0.0000
136,b"5-phrase_feature__noun_phrases__next_system_utterance__n'help_recurring_reminder",b'5',88.4664,0.0000
137,b'5-phrase_feature__noun_phrases__next_system_utterance__isle',b'5',88.4664,0.0000
138,b'5-phrase_feature__noun_phrases__next_system_utterance__mustard_\\_n10',b'5',88.4664,0.0000
139,b'5-phrase_feature__noun_phrases__next_system_utterance__israel',b'5',88.4664,0.0000
140,b'5-phrase_feature__noun_phrases__next_system_utterance__@ollie',b'5',88.4664,0.0000
141,b"5-phrase_feature__noun_phrases__next_system_utterance__n'open_fridge",b'5',88.4664,0.0000
142,b'5-phrase_feature__noun_phrases__next_system_utterance__tamallis',b'5',87.7669,0.0000
