dataset,context_set,feature_set,model,accuracy,precision,recall,f1_score
dstc2,next,7-d2v,LinearSVC.pen=l1.C=4.000000,0.749246576571,0.610035462512,0.600775177847,0.603976248271
dstc2,next,7-d2v,LinearSVC.pen=l2.C=4.000000,0.720295810595,0.587419056958,0.58402341059,0.582935200491
dstc2,next,7-d2v,LR.pen=l1.C=4.000000,0.749062479453,0.629763333057,0.600004500411,0.609360487894
dstc2,next,7-d2v,LR.pen=l2.C=4.000000,0.751824235071,0.627255499948,0.597076164159,0.606015850578
dstc2,next,7-d2v,RBF SVC with C=4.000000,0.819999940228,0.791665922616,0.670737140888,0.695260732286
dstc3,next,7-d2v,LinearSVC.pen=l1.C=4.000000,0.714549884042,0.580082319073,0.576644418155,0.57568059113
dstc3,next,7-d2v,LinearSVC.pen=l2.C=4.000000,0.689588908215,0.562638452853,0.561505065973,0.560276440773
dstc3,next,7-d2v,LR.pen=l1.C=4.000000,0.717743733833,0.593931977707,0.579272876684,0.584045343832
dstc3,next,7-d2v,LR.pen=l2.C=4.000000,0.714023615199,0.599491498421,0.588345872664,0.59027926411
dstc3,next,7-d2v,RBF SVC with C=4.000000,0.78260190884,0.740639677513,0.629757012392,0.657533733554
family,next,7-d2v,LinearSVC.pen=l1.C=4.000000,0.757777184832,0.535894432109,0.544253151371,0.538552665013
family,next,7-d2v,LinearSVC.pen=l2.C=4.000000,0.745016637368,0.521642414605,0.534029383249,0.525874201557
family,next,7-d2v,LR.pen=l1.C=4.000000,0.768257157207,0.554492507197,0.551490745373,0.551634385808
family,next,7-d2v,LR.pen=l2.C=4.000000,0.755835635359,0.538029676134,0.552104188031,0.542880762311
family,next,7-d2v,RBF SVC with C=4.000000,0.815882408338,0.679514799657,0.541899785328,0.580688538501
ghome,next,7-d2v,LinearSVC.pen=l1.C=4.000000,0.821806269977,0.528673480871,0.531377306183,0.527956458122
ghome,next,7-d2v,LinearSVC.pen=l2.C=4.000000,0.809376389153,0.509342265128,0.522079004877,0.513673275965
ghome,next,7-d2v,LR.pen=l1.C=4.000000,0.827869858809,0.531721869872,0.524391317098,0.525418804883
ghome,next,7-d2v,LR.pen=l2.C=4.000000,0.821622107915,0.5337768753,0.541986532538,0.536029830905
ghome,next,7-d2v,RBF SVC with C=4.000000,0.864002667175,0.678805278161,0.537667151878,0.571533008998
