dataset,context_set,feature_set,model,accuracy,precision,recall,f1_score
dstc2,next,7-d2v,Random forest.#tree=256,0.811777732617,0.819918386089,0.647399271302,0.676044660135
dstc2,next,7-d2v,Random forest.#tree=512,0.808459202764,0.81787846989,0.643938282542,0.672477362198
dstc2,next,7-d2v,Random forest.#tree=1024,0.812662355128,0.82212362349,0.6511679261,0.680422545777
dstc3,next,7-d2v,Random forest.#tree=256,0.774018263313,0.786951609686,0.586830699335,0.610025586808
dstc3,next,7-d2v,Random forest.#tree=512,0.77756556061,0.788122664689,0.590925127337,0.613793622642
dstc3,next,7-d2v,Random forest.#tree=1024,0.776394835429,0.774316645391,0.587231374,0.609488497376
family,next,7-d2v,Random forest.#tree=256,0.814469801607,0.720365093144,0.515287560964,0.554154515787
family,next,7-d2v,Random forest.#tree=512,0.817579105977,0.723682686104,0.523976245468,0.559391055631
family,next,7-d2v,Random forest.#tree=1024,0.817863196886,0.721089296428,0.5229034736,0.558101993914
ghome,next,7-d2v,Random forest.#tree=256,0.857578163036,0.644645617371,0.508791544127,0.546773552443
ghome,next,7-d2v,Random forest.#tree=512,0.857518892487,0.626001949634,0.502952846794,0.538241233771
ghome,next,7-d2v,Random forest.#tree=1024,0.856782244237,0.642233399795,0.50661116143,0.54544527097
