id,name,prefix,chi2,pval
0,b'3-time_feature__turns_from_start',b'3',10060.3908,0.0000
1,b'3-time_feature__time_ratio',b'3',2854.4766,0.0000
2,b'7-syntactic_feature__subj_word__next_system_utterance__taverna',b'7',2188.7270,0.0000
3,b'5-phrase_feature__noun_phrases__next_system_utterance__eraina_taverna',b'5',1813.1816,0.0000
4,b'5-phrase_feature__noun_phrases__next_system_utterance__little_seoul',b'5',1159.8529,0.0000
5,b'7-syntactic_feature__root_word__next_system_utterance__indian',b'7',1120.8550,0.0000
6,b'7-syntactic_feature__root_word__next_system_utterance__chines',b'7',834.1992,0.0000
7,b'7-syntactic_feature__root_word__next_user_utterance__system',b'7',774.3776,0.0000
8,b'7-syntactic_feature__root_word__current_user_utterance__um',b'7',696.0335,0.0000
9,b'1-utterance_length.next_system_utterance__utterance_length',b'1',665.9143,0.0000
10,b'7-syntactic_feature__root_word__next_system_utterance__hinton',b'7',617.6721,0.0000
11,b'7-syntactic_feature__root_word__next_user_utterance__unintelligibletoo',b'7',562.5987,0.0000
12,b'5-phrase_feature__noun_phrases__next_user_utterance__building',b'5',560.2088,0.0000
13,b'5-phrase_feature__noun_phrases__next_user_utterance__girton_im',b'5',554.4238,0.0000
14,b'2.2-#user_action_words.current_user_utterance__utterance_length',b'2.2',543.3024,0.0000
15,b'7-syntactic_feature__root_word__next_system_utterance__park',b'7',541.9996,0.0000
16,b'5-phrase_feature__noun_phrases__next_system_utterance__park_golf',b'5',533.6286,0.0000
17,b'2.1-user_action_words.current_user_utterance__address',b'2.1',518.1937,0.0000
18,b'5-phrase_feature__noun_phrases__current_user_utterance__addonsbookes_area',b'5',517.1957,0.0000
19,b'5-phrase_feature__noun_phrases__next_system_utterance__pembroke',b'5',511.3760,0.0000
20,b'5-phrase_feature__noun_phrases__next_system_utterance__northern',b'5',511.3760,0.0000
21,b'5-phrase_feature__noun_phrases__next_system_utterance__pembroke_college',b'5',511.3760,0.0000
22,b'5-phrase_feature__noun_phrases__next_system_utterance__john',b'5',495.5897,0.0000
23,b'7-syntactic_feature__obj_word__next_system_utterance__rephras',b'7',466.5424,0.0000
24,b'2.1-user_action_words.next_user_utterance__moder',b'2.1',449.7773,0.0000
25,b'5-phrase_feature__noun_phrases__next_user_utterance__nosie_sil',b'5',449.7773,0.0000
26,b'2.1-user_action_words.next_user_utterance__part',b'2.1',443.1393,0.0000
27,b'5-phrase_feature__noun_phrases__next_user_utterance__phnne_number',b'5',443.1393,0.0000
28,b'5-phrase_feature__noun_phrases__next_system_utterance__trumpington_part',b'5',442.7794,0.0000
29,b'7-syntactic_feature__obj_word__next_system_utterance__fee',b'7',442.7794,0.0000
30,b'5-phrase_feature__noun_phrases__next_user_utterance__phon',b'5',438.1765,0.0000
31,b'5-phrase_feature__noun_phrases__current_user_utterance__nosie',b'5',432.7138,0.0000
32,b'2.1-user_action_words.current_user_utterance__number',b'2.1',432.7138,0.0000
33,b'5-phrase_feature__noun_phrases__current_user_utterance__phnne',b'5',432.1026,0.0000
34,b'2.1-user_action_words.current_user_utterance__phone',b'2.1',432.1026,0.0000
35,b'5-phrase_feature__noun_phrases__current_user_utterance__pho_number',b'5',430.3287,0.0000
36,b'2.1-user_action_words.next_user_utterance__add',b'2.1',421.5448,0.0000
37,b'5-phrase_feature__noun_phrases__next_user_utterance__addonsbookes_area',b'5',421.5448,0.0000
38,b'5-phrase_feature__noun_phrases__next_user_utterance__cafe_food_restaurant',b'5',419.7978,0.0000
39,b'5-phrase_feature__noun_phrases__next_system_utterance__milton_park',b'5',415.2967,0.0000
40,b'7-syntactic_feature__obj_word__next_system_utterance__area',b'7',415.2967,0.0000
41,b'7-syntactic_feature__root_word__next_system_utterance__part',b'7',404.8427,0.0000
42,b'7-syntactic_feature__root_word__next_system_utterance__felix',b'7',397.1010,0.0000
43,b'7-syntactic_feature__subj_word__next_system_utterance__it',b'7',376.5040,0.0000
44,b'2.1-user_action_words.next_user_utterance__time',b'2.1',358.3450,0.0000
45,b'5-phrase_feature__noun_phrases__next_system_utterance__uno',b'5',356.3895,0.0000
46,b'5-phrase_feature__noun_phrases__next_system_utterance__single_room',b'5',344.8455,0.0000
47,b'7-syntactic_feature__root_word__next_system_utterance__pound',b'7',339.0116,0.0000
48,b'5-phrase_feature__noun_phrases__next_system_utterance__magdalene',b'5',332.8822,0.0000
49,b'5-phrase_feature__noun_phrases__next_system_utterance__cotto',b'5',332.8822,0.0000
50,b'5-phrase_feature__noun_phrases__next_system_utterance__postcode_cb5_8dz',b'5',332.8822,0.0000
51,b'7-syntactic_feature__root_word__next_user_utterance__correct',b'7',326.9468,0.0000
52,b'5-phrase_feature__noun_phrases__next_system_utterance__clifton',b'5',317.6879,0.0000
53,b'5-phrase_feature__noun_phrases__next_user_utterance__good_bye_noise',b'5',311.8463,0.0000
54,b'7-syntactic_feature__subj_word__next_system_utterance__lion',b'7',310.9899,0.0000
55,b'3-time_feature__turns_to_end',b'3',301.5740,0.0000
56,b'7-syntactic_feature__subj_word__next_system_utterance__fleur',b'7',299.3307,0.0000
57,b'7-syntactic_feature__root_word__next_system_utterance__hous',b'7',273.3423,0.0000
58,b'1-utterance_length.current_user_utterance__utterance_length',b'1',255.2932,0.0000
59,b'7-syntactic_feature__root_word__next_system_utterance__help',b'7',253.6060,0.0000
60,b'5-phrase_feature__noun_phrases__current_user_utterance__voice_talking',b'5',251.1847,0.0000
61,b'5-phrase_feature__noun_phrases__next_user_utterance__repeat_address',b'5',240.2505,0.0000
62,b'5-phrase_feature__noun_phrases__current_user_utterance__res',b'5',235.1914,0.0000
63,b'5-phrase_feature__noun_phrases__next_system_utterance__other_internet_connection',b'5',229.3330,0.0000
64,b'5-phrase_feature__noun_phrases__next_system_utterance__riverside',b'5',226.5808,0.0000
65,b'2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',b'2.3.1',220.2308,0.0000
66,b'5-phrase_feature__noun_phrases__next_user_utterance__voice_talking',b'5',214.6384,0.0000
67,b'5-phrase_feature__noun_phrases__next_system_utterance__granta_place',b'5',210.5947,0.0000
68,b'5-phrase_feature__noun_phrases__next_system_utterance__polar_museum',b'5',199.0477,0.0000
69,b'5-phrase_feature__noun_phrases__next_system_utterance__milton_road',b'5',195.4431,0.0000
70,b'7-syntactic_feature__root_word__next_user_utterance__work',b'7',192.6696,0.0000
71,b'7-syntactic_feature__root_word__next_user_utterance__mextex',b'7',192.4609,0.0000
72,b'5-phrase_feature__noun_phrases__next_system_utterance__stow',b'5',191.0994,0.0000
73,b'5-phrase_feature__noun_phrases__next_system_utterance__regent_street',b'5',182.7536,0.0000
74,b'7-syntactic_feature__root_word__current_user_utterance__pub',b'7',177.4425,0.0000
75,b'5-phrase_feature__noun_phrases__next_system_utterance__fusion_food',b'5',171.6527,0.0000
76,b'3-time_feature__start_of_session',b'3',170.5127,0.0000
77,b'7-syntactic_feature__root_word__next_user_utterance__prefer',b'7',155.9230,0.0000
78,b'7-syntactic_feature__root_word__next_system_utterance__serv',b'7',149.1464,0.0000
79,b'2.1-user_action_words.next_user_utterance__list',b'2.1',147.3281,0.0000
80,b'7-syntactic_feature__root_word__next_system_utterance__greek',b'7',146.7035,0.0000
81,b'5-phrase_feature__noun_phrases__current_user_utterance__technology',b'5',145.6289,0.0000
82,b'5-phrase_feature__noun_phrases__next_user_utterance__lucky_star',b'5',143.8108,0.0000
83,b'7-syntactic_feature__root_word__next_system_utterance__pleas',b'7',137.5642,0.0000
84,b'7-syntactic_feature__subj_word__next_user_utterance__im',b'7',137.4681,0.0000
85,b'7-syntactic_feature__subj_word__current_user_utterance__im',b'7',136.7150,0.0000
86,b'6-entity_feature__entity__next_system_utterance__86_NUMBER',b'6',135.6486,0.0000
87,b'5-phrase_feature__noun_phrases__next_system_utterance__backstreet_bistro',b'5',133.8949,0.0000
88,b'7-syntactic_feature__root_word__next_system_utterance__allow',b'7',132.5613,0.0000
89,b'7-syntactic_feature__subj_word__next_system_utterance__teri-aki',b'7',131.9496,0.0000
90,b'5-phrase_feature__noun_phrases__next_system_utterance__anything',b'5',130.4845,0.0000
91,b'5-phrase_feature__noun_phrases__next_user_utterance__ditton_area',b'5',128.3749,0.0000
92,b'7-syntactic_feature__root_word__next_system_utterance__71',b'7',118.9033,0.0000
